date_x,name_x,ticker,cusip,eqr_x,eqr_expanded,svr,svr_expanded,amr,amr_expanded,sgr,sgr_expanded,gqr,gqr_expanded,date_y,name_y,latestquarter,eqr_y,eqrexpanded
2016-02-26,APPLE INC,AAPL,37833100,5,81,5,93,5,95,5,87,10,83,2016-01-01,Apple Inc.,2015-09-26,4,68
2016-02-26,APPLE INC,AAPL,37833100,5,81,5,93,5,95,5,87,10,83,2016-01-08,Apple Inc.,2015-09-26,4,66
2016-02-26,APPLE INC,AAPL,37833100,5,81,5,93,5,95,5,87,10,83,2016-01-15,Apple Inc.,2015-09-26,4,66
2016-02-26,APPLE INC,AAPL,37833100,5,81,5,93,5,95,5,87,10,83,2016-01-22,Apple Inc.,2015-09-26,4,69
2016-02-26,APPLE INC,AAPL,37833100,5,81,5,93,5,95,5,87,10,83,2016-01-29,Apple Inc.,2015-12-26,5,91
2016-02-26,APPLE INC,AAPL,37833100,5,81,5,93,5,95,5,87,10,83,2016-02-05,Apple Inc.,2015-12-26,5,91
2016-02-26,APPLE INC,AAPL,37833100,5,81,5,93,5,95,5,87,10,83,2016-02-12,Apple Inc.,2015-12-26,5,91
2016-02-26,APPLE INC,AAPL,37833100,5,81,5,93,5,95,5,87,10,83,2016-02-19,Apple Inc.,2015-12-26,5,91
2016-02-26,APPLE INC,AAPL,37833100,5,81,5,93,5,95,5,87,10,83,2016-02-26,Apple Inc.,2015-12-26,5,90
2016-02-19,APPLE INC,AAPL,37833100,5,89,5,94,5,94,5,89,10,85,2016-01-01,Apple Inc.,2015-09-26,4,68
2016-02-19,APPLE INC,AAPL,37833100,5,89,5,94,5,94,5,89,10,85,2016-01-08,Apple Inc.,2015-09-26,4,66
2016-02-19,APPLE INC,AAPL,37833100,5,89,5,94,5,94,5,89,10,85,2016-01-15,Apple Inc.,2015-09-26,4,66
2016-02-19,APPLE INC,AAPL,37833100,5,89,5,94,5,94,5,89,10,85,2016-01-22,Apple Inc.,2015-09-26,4,69
2016-02-19,APPLE INC,AAPL,37833100,5,89,5,94,5,94,5,89,10,85,2016-01-29,Apple Inc.,2015-12-26,5,91
2016-02-19,APPLE INC,AAPL,37833100,5,89,5,94,5,94,5,89,10,85,2016-02-05,Apple Inc.,2015-12-26,5,91
2016-02-19,APPLE INC,AAPL,37833100,5,89,5,94,5,94,5,89,10,85,2016-02-12,Apple Inc.,2015-12-26,5,91
2016-02-19,APPLE INC,AAPL,37833100,5,89,5,94,5,94,5,89,10,85,2016-02-19,Apple Inc.,2015-12-26,5,91
2016-02-19,APPLE INC,AAPL,37833100,5,89,5,94,5,94,5,89,10,85,2016-02-26,Apple Inc.,2015-12-26,5,90
